"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"128","TNRERA/35/BLG/0128/2026                                 dated 10-04-2026","M/s. Felixa Builder Private Limited., Old No. 18, New No. 14, 1St Floor , Door No. 16 , Balaram Road , Adyar, Chennai - 600  020, Chennai, Tamil Nadu-","Project Name: FELIXA RAVERAARegistration for Group Development Residential Building consists of Block 01 - Ground Floor + 1st Floor with 20 dwelling units , Block 02 - Ground Floor + 1st Floor with 8 dwelling units , Block 03 - Ground Floor + 1st Floor with 8 dwelling units , Block 04 - Ground Floor + 1st Floor with 15 dwelling units , Block 05 - Ground Floor + 1st Floor with 3 dwelling units , Block 06 - Ground Floor + 1st Floor with 16 dwelling units , Block 07 - Ground Floor + 1st Floor with 18 dwelling units , Block 08 - Ground Floor + 1st Floor with 2 dwelling units , Block 09 - Ground Floor + 1st Floor with 14 dwelling units , Block 10 - Ground Floor + 1st Floor with 2 dwelling units , Block 11 - Ground Floor + 1st Floor with 11 dwelling units , Block 12 (Club House) - Basement Floor +  Ground Floor +  2nd Floor , Block 13 (Retail Shop) - Ground Floor and by totaly 117 dwelling units. Comprised in S.Nos. 478/1A1A1A1A1 , 478/1A1B , 478/1A2B  of  Thaiyur 'A' Village , Thiruporur  Taluk  , Chengalpattu District.","The  Assistant  Director , T&CP , Chengalpattu  District  has issued planning permission vide letter No.  SWP/BPA/777400/2026   dated 18.03.2026. The President , Thaiyur  Village  Panchayat has issued building permission vide letter No. 68/2025-26  dated 23.03.2026.","31.03.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.783621;Longitude-80.193971;","",""
"129","TNRERA/29/BLG/0129/2026                                 dated 10-04-2026","CHAITANYA FOUNDATIONS PRIVATE LIMITED, ”Banyan View”, 3rd Floor 39  Karpagam Gardens, 1st Road  Adyar, Chennai, Tamil Nadu-600020.","Project Name: RAJSHRIRegistration for Stilt Floor + 4 Floors + 5th Floor Part (Height 18.30 m) Residential Building with 10 dwelling units Availing Premium FSI with TOD Benefit at New Door No. 13, Old Door No. 5, Nageswara Rao Road, Nungambakkam, Chennai District.","CMDA issued planning permission in Letter No. P.P.No.OL-PP/NHRB/0355/2025 vide  Lr.No.CMDA/PP/NHRB/C/0441/2025  Dated 16-09-2025. Greater Chennai corporation  issued building permission in Letter No. CEBA/WDCN09/00410/2025 Dated 30/09/2025.","31.08.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.058265;Longitude-80.245658;","",""
"130","TNRERA/35/BLG/0130/2026                                 dated 10-04-2026","REVISTA HOLDINGS PVT LTD, Door No.NO 3, CLUB ROAD, CHETPET, Chennai, Tamil Nadu-600031.","Project Name: TULIVE FLORARegistration for Stilt floor + 1st floor + 2nd & 3rd floor (Part) + 4th & 5th floor (Height - 18.30m) Residential Building with 45 dwelling units for Affordable Housing at Plot No. 2 (CMDA approved Subdivision No. 137/2021), Mudichur, Chennai - 600 043 comprised in S.No.292/1, 293/1 & 315/1 (Document), S.No.292/1, 293/1A & 315/1A (Patta) of Mudichur Village within the limits of St. Thomas Mount Panchayat Union, Chennai District.","CMDA accorded Planning Permission in  OL-PP/NHRB/0418/2025 (Planning Permit No. OL-02259) in Letter No. CMDA/PP/NHRB/S/0439/2025, dated 24/10/2025. The Executive Officer/ Village Panchayat President of Mudichur Village Panchayats issued Building Permission in Letter ROC. No. 25/2025-2026, dated 23.03.2026.","31.03.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12906291;Longitude-80068139;","",""
"131","TNRERA/11/BLG/0131/2026                                 dated 10-04-2026","M/s Dhiya Foundation Pvt Ltd, No 22/1, PRR Nagar,  PN Pudur, Coimbatore, Tamil Nadu-641041.","Project Name: Dhiya's Sai RishabhamRegistration for stilt + 5 floors (Block A - Residential Building with 70 dwelling units, Block B- Commercial Building) comprised in S.No. 25/1A,25/1B,28/1B2, 28/3 & 49/2B of Thudiyalur Village, Coimbatore city corporation/ North Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued Planning permission No. 152/2026 in Letter No. SWP/BPA/756012/2026 dated 19/02/2026. The Commissioner, Coimbatore city Municipal corporation issued Building permission No. 162/BL/2026/04/001/00380 in Letter No. 162/CP/25-26/0396828 dated 05/03/2026.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.074042;Longitude-76.939749;","",""
"132","TNRERA/1/BLG/0132/2026                                 dated 10-04-2026","M/s.NEST ZONE INDIA PRIVATE LIMITED, Kamarajar Nagar 4th Street, Choolaimedu Village , Chennai, Chennai, Tamil Nadu-600094.","Project Name: NEST HARMONYRegistration for Proposed Construction of Stilt Floor + 5 Floors Residential Building with 123 dwelling units (Gym & Indoor Games at 5th Floor) at Plot No.19, Lakshmi Nagar Layout Road, Varadharajapuram, Chennai comprised in Old S.No.24/1 & New S.No.24/1C and Old S.No.25/2 & New S.No.25/2A Part  (as per document), New S.No.25/2A2 (as per patta) of Varadharajapuram Village, Kundrathur Taluk within the limits of Kundrathur Panchayat Union, Chennai District.","The Assistant Planner, CMDA Chennai district issued Planning Permission No.OL-PP/NHRB/0127/2026 in letter no. CMDA/PP/NHRB/C/0993/2025 dated 13.03.2026. The President Varadharajapuram Village, Kundrathur Taluk Within the limits of Kundrathur Panchayat Union Chennai district issued building Permission letter no. 63/2025-26 dated 17.03.2026.","30.09.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.887281;Longitude-80.054955;","",""
"133","TNRERA/29/BLG/0133/2026                                 dated 15-04-2026","M/s.THE NEST, Door No.15/6, Kamarajar Nagar 4th Street, Choolaimedu, Chennai, Tamil Nadu-600094.","Project Name: NEST BEYONCERegistration for Stilt Floor + 5 Floors  Residential Building with 118 Dwelling units for Affordable Housing with Gym & Indoor Games Room at Karanai Road, Ottiyambakkam, Chennai comprised in Old S.No.296/3 (Pt) & 297/1B (Pt) (Document), New S.No.296/3A & 297/1B1 (Patta) of Ottiyambakkam Village within the Limits of St.Thomas Mount Panchayat Union, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0118/2026 in Letter No.  CMDA/PP/NHRB/S/1036/2025, Dated 11/03/2026. The President, Ottiyambakkam Village Panchayat, issued Building Permission in Letter ROC No. CMDA/PP/NHRB/S/1036/2025, Dated 20/03/2026.","30.09.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.871115;Longitude-80.200224;","",""
"134","TNRERA/2/BLG/0134/2026                                 dated 16-04-2026","M/s.DANUB HOMES PRIVATE LIMITED, New No.111, Old No. 59 , NPL Devi, L B Road,, Thiruvanmiyur,, Chennai, Tamil Nadu-600041.","Project Name: CASAGRAND ZODIACRegistration for High Rise Residential cum Commercial (Club House) use Group Development Building consisting of 3 blocks, In Block-1 Combined Stilt floor (Meant for parking) + Combined 1st Floor (Meant for parking) over &above with 3 Towers, wherein Tower – A & B: 2nd floor to 14th floor with 221 dwelling units in each Tower (442dwelling units), In Tower – C: 2nd Floor to 6th Floor with amenities (i.e. Club house use and open Swimming pool at 2nd floor level); Block-2: Stilt floor (Meant for parking) + 1st Floor to 14th Floor with 182 dwelling units; Block-3:Stilt floor (Meant for parking) + 1st Floor to 14th Floor with 140 dwelling units; Totally 764 dwelling units including Premium FSI. Abutting Periya Koladi Road, Comprised in S.Nos. 42/1, 49/1, 51/1, 52/1A, 52/2, 53/2 of Koladi Village, Poonamallee taluk, Thiruvallur District.","The CMDA, Planning Permission No. OL- PP/HRB/0012/2026 issued in letter No. CMDA/PP/HRB/N/0898/2025 dated.27.03.2026. The Commissioner, Tiruverkadu Municipality, issued Building License No.015/BL/2026/00019 in letter No.015/BPA/2026/00051 dated.06.04.2026.","27.04.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.08561;Longitude-80.13389;","",""
"135","TNRERA/29/BLG/0135/2026                                 dated 16-04-2026","M/s.SANNAREDDY HOMES, Mahathma Gandhi Road, Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        Balasubrahmanian, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        K Pannagasaayanam, Vallalar Street VGP Shanthi Nagar Nagathaman Koil Pallaikaranai, Chennai, Chennai, Tamil Nadu-600100.                                                                        Lalitha Venugopal, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        H Sankar Narayanan, Urur Olcott Kuppam Road 5th Avenue Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        M V Shyamala, Urur Olcott Kuppam Road 5th Avenue Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        Shaji Vinod K L P, Nediyasalai Arumanai PO Sahayanagar Vilavancode, Kanniyakumari, Chennai, Tamil Nadu-629151.                                                                        Rekaha Vinod alias Rekha T, Nediyasalai Arumanai PO Sahayanagar Vilavancode, Kanniyakumari, Chennai, Tamil Nadu-629151.                                                                        S Karthik, Jeevarathinam Nagar Shanthi Colony Adyar, Chennai, Chennai, Tamil Nadu-600020.                                                                        Babu Nagarajan, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        V Murali, 21st Cross Street Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        V Venkataramani, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        Shyamala Venkataramani, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        S Sripriya, 21st Cross Street Indira Nagar Adyar, Chennai, Chennai, Tamil Nadu-600020.                                                                        Ranjani Sabarinathan, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        T R Sriram, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai, Chennai, Tamil Nadu-600090.                                                                        Suganthi Sriram, Rukmani Road Kalakshetra Colony Besant Nagar, Chennai 60, Chengalpattu, Tamil Nadu-600090.","Project Name: SHREYAS BY SANNAREDDY HOMESRegistration for Stilt floor + 4 floors (Height – 16.0m) Residential Building with 14 dwelling units at Plot No.10 & 11, New Door No.45 & 47, Old Door No.25 & 26, Rukmani Road, Kalachatra Colony, Besant Nagar,  Comprised in Old S.No.161/2 & 161/3 (Part), and T.S.No.21, Block No.51 of Thiruvanmiyur Village, Chennai District.","CMDA issued Planning Permission No. OL-PP/NHRB/0402/2025 in Lr No.CMDA/PP/NHRB/S/0695/2025 dated 15/10/2025. Greater Chennai Corporation issued building permission in Lr No.CEBA/SWCN13/00457/2025 dated 05/11/2025.","14.10.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.994473;Longitude-80.266950;","",""
"136","TNRERA/11/BLG/0136/2026                                 dated 17-04-2026","M/s.NOVASCAPE REALTY VENTURES LLP, Door No 10, Karupannan Street, Surampatti Nall Road,  Rajakadu, Erode, Tamil Nadu-638001.","Project Name: Up Town by NovascapeRegitration for Block : 1 - (Stilt Floor + First floor + Second floor + Third floor + Fourth floor + Fifth floor) Residentail Building with 50 Dwelling units, Block : 2 - (Stilt Floor + First floor + Second floor + Third floor + Fourth floor + Fifth floor) Residentail Building with 35 Dwelling units, Block : 3 - (Stilt Floor + First floor + Second floor + Third floor) Commercial Building with (Parking, Community Hall, Kids Play area + Gym, Swimming Pool) at comprised in Survey Nos.422/4A2, 422/5A2 & 422/5B2 of Keeranatham Village, Annur Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued Planning Permission No.827/2025 in Letter No.SWP/BPA/0642888/2025 dated 27/11/2025. The President, Keeranatham Village Panchayat issued Building Permission in Letter Roc No.250/2025-2026 dated 13/01/2026.","27.11.2032","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.108773;Longitude-76.999218;","",""
"137","TNRERA/29/BLG/0137/2026                                 dated 17-04-2026","KANISHKAA FOUNDATION, FLAT NO 2A & 2B, PLOT NO 13(5) VRIKSHAH HOUSE OF JAYAM VINAYAGAM STREET, MANDAVELIPAKKAM, CHENNAI, Chennai, Tamil Nadu-600028.","Project Name: SHIRINIVOS APARTMENTSRegistration for Promoter share of Flats - 1A & 1B of Stilt floor + 5 floors (Height – 18.30m) Residential Building with 10 Dwelling units Availing Premium FSI with TOD Benefit at New Door No.19, Old Door No.37, Cenotaph Road 1st Lane, Teynampet, Chennai 600018, comprised in Old R.S.No.3847/12, 3847/16, 3447/17, 3847/18 & 3847/21 (Document), New R.S.No.3847/59 (Patta), Block No.76 of Mylapore Village, Chennai District.","CMDA issued planning permission in OL-PP/NHRB/0455/2025 vide letter No. CMDA/PP/NHRB/S/0744/2025  dated 15-11-2025. GCC issued building permission in Letter No. CEBA/WDCN09/0521/2025  dated 15/11/2025.","31.03.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-14.646688;Longitude-23.794694;","",""
"138","TNRERA/5/BLG/0138/2026                                 dated 17-04-2026","P J PURUSHOTHAMAN, 33/1, Officers Line, Roundtana,, Vellore, Tamil Nadu-632001.                                                                        P J DEVARAJAN, 11/H Officers Line, Roundtana,, Vellore, Tamil Nadu-632001.                                                                        P J RUKMANGADHAN, 11M, Officers Line, Roundtana,, Vellore, Tamil Nadu-632001.","Project Name: RAJ N RAMRegistration of Stilt Floor (Parking) + 4 Floors (12 Dwelling Units) comprised in T.S.No. 313/3G, 313/5, 313/6 & 313/7 Ward 5, Block No. 7, Velapadi Village, Vellore Taluk/ City Municipal corporation, Vellore District.","The joint Director, T&CP, Vellore District issued Planning permission No. B.P./VELLORE-LPA/P.P.NO.17/2024 in Letter No. SWP/ BPA/ 127889/ 2024 dated 22/04/2025. The Commissioner, Vellore city Municipal corporation issued Building permission No. 035/BL/2024/00487 in Letter No. 35/CP/24-25/0001336 dated 21/08/2024","15.01.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.907108;Longitude-79.132456;","",""
"139","TNRERA/29/BLG/0139/2026                                 dated 20-04-2026","NISHA PURSOTHAMAN, 45/32 A BLOCK ANNA NAGAR, anna nagar chennai, Taluk.CHENNAI, Chennai, Tamil Nadu-600102.                                                                        SHEENA PURSOTHAMAN, 45/32 A BLOCK ANNA NAGAR, CHENNAI, Chennai, Tamil Nadu-600102.","Registration for construction of Basement Floor (Puzzle Parking) + Ground Floor & First Floor (Shop) and 2nd Floor Office (Commercial Building) at Plot No.663 Old Door No.103, New Door No.85, D-Block, 2nd Avenue & 1st Avenue Road, Anna Nagar East, Chennai District Comprised in Old S.No. 2/1B PT, T.S.No. 7/1PT, New T.S.No-3, Block No-6, Periyakukudal Village, Aminjikarai Taluk, Chennai District.","CMDA Planning Permit No. B/NHRB/24/2020 issued in letter No. PP/NHRB/N/512/2019 dated 24/01/2020. The Greater Chennai Corporation issued building permission No. CEBA/WDCN08/00335/2020 dated 22/09/2020.","Completed","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-130506.8;Longitude-801327.8;","","Completed"
"140","TNRERA/35/BLG/0140/2026                                 dated 25-04-2026","M/s. CASAGRAND ASTUTE PRIVATE LIMITED, New No.111, Old No. 59 , NPL Devi, L B Road, Thiruvanmiyur, Chennai - 600041, CHENNAI, Chennai, Tamil Nadu-600041.","Project Name: CASAGRAND ESTIARegistration for construction of Basement Floor + Ground Floor + 4 Floors + 5th Floor (Part) Residential Building with 173 Dwelling units Availing Premium FSI with Swimming pool, Kids Play Rooms, Gym, AV room and Indoor Games Room at Vengambakkam and Nedunkundram, Chennai comprised in Old S.No.31/3D, 31/3E, 32, 33/4, 33/5, New S.Nos.31/3D, 31/3E1, 32, 33/4A, 33/4B, 33/4C, 33/5A, & 33/5B of Vengambakkam Village within the limits St.Thomas Mount Panchayat Union and Old S.Nos. 577/1 & 577/1A (Document), S.No.577/39 (Patta) of Nedunkundram Village within the limits of Kattankulathur Panchayat Union, Chengalpattu District."," CMDA Planning Permission No.OL-PP/NHRB/0040/2026, Planning Permit No. OL-02624 and  issued in letter No.CMDA/PP/NHRB/S/0507/2025 dated 30/01/2026. The President, Vengambakkam Village Panchayat, Chengalpattu District issued in Building Permission letter Roc.No.CMDA/PP/NHRB/S/0507/2025  Dt:08.04.2026.","31.03.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.88167;Longitude-80.132212;","",""
"141","TNRERA/29/BLG/0141/2026                                 dated 25-04-2026","M/s.CEEBROS PROPERTY DEVELOPMENT PRIVATE LIMITED Rep by its MANAGING DIRECTOR C.SUBBA REDDY (DEVELOPER) & Thiru.R.SRIDHAR (LAND OWNER), Flat No.19/1, THIRD CROSS STREET, RAJA ANNAMALAIPURAM, CHENNAI 600 028, Door No.19/1,, THIRD CROSS STREET, RAJA ANNAMALAIPURAM, MYLAPORE, Chennai, Tamil Nadu-600028.","Project Name: SRI RAMACHANDRARegistration for Stilt Floor + 4 Floors + 5th Floor part Residential Building (Height- 18.30m) with 9 Dwelling Units at Plot No.A47, Old Door No.36, New Door No.25, 10th Avenue, Ashok Nagar, Chennai comprised in R.S.No.52, Block No.57 of Kodambakkam(part 2) Village, Mambalam Taluk within the limits of Greater Chennai Corporation, Chennai District.","The CMDA issued planning permission No.OL-PP/NHRB/0015/2026 in Letter No.CMDA/PP/NHRB/C/0844/2025 dated 12/01/2026. The Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN10/00033/2026 dated 27/01/2026.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.034641;Longitude-80.214786;","",""
"142","TNRERA/29/BLG/0142/2026                                 dated 25-04-2026","M/S. KCEE PROPERTIES PRIVATE LIMITED, Door No.8/19, 8/19, FIRST FLOOR, 2ND STREET, RAGHAVAN COLONY,ASHOK NAGAR, CHENNAI., ASHOK NAGAR Village , Chennai, Taluk.Chennai, Chennai, Tamil Nadu-600083.                                                                        SHANTHI RAVINDRAN, Door No.3/1, P.V.KOVIL STREET, ROYAPURAM Village , CHENNAI, ROYAPURAM, Chennai, Tamil Nadu-600013.                                                                        GIRIJA CHANDRAMOHAN, Door No.10-5-599, EAST NEHRUNAGAR, SECUNDERABAD Village , SECUNDERABAD, Hyderabad, Telangana-500026.                                                                        RAVI H RAVIKUMAR, Door No.3/1, P.V.KOVIL STREET, ROYAPURAM Village , ROYAPURAM,CHENNAI, Chennai, Tamil Nadu-600013.","Project Name: KCEE VARUNIRegistration for Stilt floor + 5 floors Residential Building with 10 Dwelling units Availing Premium FSI with TOD Benefit at Plot No.34, New Door No.7, Old Door No.4, Padmavathi Road, Jeypore Nagar, Gopalapuram, Chennai comprised in Old R.S.No.67, 67/2, 69, 69/3 & 82 (Document) and R.S.No.67/64 (Patta), Block No.4 of Mylapore Village within the limits of Greater Chennai Corporation, Chennai District.","CMDA Planning Permission No.OL-PP/NHRB/0489/2025 issued in letter No. CMDA/PP/NHRB/S/0755/2025 dated 15/12/2025. Greater Chennai Corporation issued Building Permission No. CEBA/WDCN09/00544/2025 dated 31/12/2025.","31.12.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.053813;Longitude-80.256387;","",""
"143","TNRERA/7/BLG/0143/2026                                 dated 25-04-2026","SHIVA ASSOCIATES, Flat No.179/L-7,SRI LAKSHMI HOMES, Door No.179/L-7, SRI NAGAR COLONY, NARASOTHIPATTY Village , SALEM, Taluk.SALEM WEST, Salem, Tamil Nadu-636004.","Project Name: SAKURA ENCLAVERegistration for Stilt + 3 Floors with 12 dwelling units at  (Old S.No.61/1, 61/2, 61/3, 61/5, 61/6 pt) - New Ward C - Block 6  comprised in T.S.No.148/6  Reddiyur Village, Salem West Taluk, Salem District.","Assistant Director, T&CP, Salem District issued planning permission in Letter No. SWP/BPA/0014671/2023 dated 08/08/2024. Commissioner, Salem Corporation issued building permission in Letter No. 0049/BL/2025/00007 dated 06/01/2025.","30.12.2026","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.685556;Longitude-78.133667;","",""
"144","TNRERA/35/BLG/0144/2026                                 dated 25-04-2026","M/s.Sagar Grandhi Constructions, C-10, Block C, 5th Floor, Sagar Classic Apartment,  Classic Farms Road, 4th Street, Sholinganallur,, Chennai, Tamil Nadu-600119.                                                                        Maruthikumar Nallamallai, C-10, Block C, 5th Floor, Sagar Classic Apartment,  Classic Farms Road, 4th Street, Sholinganallur,, Chennai, Tamil Nadu-600119.","Project Name: SAGAR THE ONERegistration for Stilt Floor + 5 Floors (Height – 18.30m) Residential Building with 20 dwelling units for Affordable Housing at Plot Nos.29, 30, 35 & 36, (CMDA Approved Layout – 132/1990) Indira Priyadarshini Nagar Annexe, Perumbakkam, Chennai comprised in Old S.No.455/1A1A2 (Document), New S.No.455/1A1A2A, 455/27 & 455/26 (Patta) of Perumbakkam Village, Tambaram Taluk, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0274/2025 in Letter No.CMDA/PP/NHRB/S/0508/2025 dated 18/07/2025. The President, Perumbakkam Village Panchayat issued Building Permission in Letter Roc No.1 dated 11/12/2025.","17.07.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.903594;Longitude-80.207420;","",""
"145","TNRERA/11/BLG/0145/2026                                 dated 25-04-2026","M s SREE DAKSHA INFRASTRUCTURE PRIVATE LIMITED, MARUTHAMALAI MAIN ROAD, VADAVALLI VILLAGE Village , Taluk.PERUR, Coimbatore, Tamil Nadu-641046.","Project Name: SREE DAKSHA'S BEATRIZRegistration for Residential apartment multistory building Block-A, Basement -1 & 2 Stilt Floor + 7 Floors, Block B - Ground Floor  with Total 92 Dwelling units, comprised in  Old Survey No. 294/1PART and 294/2 of T.S No. 18/4 & 18/5  of Block No.02, Villankurichi Village,  Coimbatore North Taluk, Coimbatore District.","The Joint Director, DTCP, Coimbatore issued planning permission in  P.P.No.282/2026  vide  Letter No. SWP/BPA/624890/2025 Dated 02/04/2026. The Commissioner, Coimbatore city Municipal Corporation  issued building permission in Letter No. 162/BL/2026/02/024/00563 Dated 11/04/2026.","30.04.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.04188;Longitude-77.01348;","",""
